RelativePath,Status,Variants,DeployTrees,NewestDeploy
.env.template,CONFLICT,2,13,2026-06-15T00-46
CANONICAL_ENGINE_README.md,CONFLICT,2,13,2026-06-15T00-46
CANONICAL_ENGINE_TEST_GUIDE.md,CONFLICT,2,13,2026-06-15T00-46
DEMO_CANONICAL_FIX.md,CONFLICT,2,13,2026-06-15T00-46
STARTDAY_DEMO_FIX.md,CONFLICT,2,13,2026-06-15T00-46
admin/completeTaskEntry.js,IDENTICAL,1,13,2026-06-15T00-46
admin/completeTaskEntryWithCooling.js,CONFLICT,2,13,2026-06-15T00-46
admin/demoMode.js,CONFLICT,2,13,2026-06-15T00-46
admin/generateCleaningTasks.js,IDENTICAL,1,13,2026-06-15T00-46
admin/generateDailyTaskInstances.js,IDENTICAL,1,13,2026-06-15T00-46
admin/generateEgenkontrolFromRiskAnalysis.js,IDENTICAL,1,13,2026-06-15T00-46
admin/generateRisksFromOnboardingAnswers.js,IDENTICAL,1,13,2026-06-15T00-46
admin/generateTasksFromRisks.js,IDENTICAL,1,13,2026-06-15T00-46
admin/listCollections.js,IDENTICAL,1,13,2026-06-15T00-46
admin/riskLibraryManager.js,CONFLICT,2,13,2026-06-15T00-46
admin/softArchive.js,CONFLICT,2,13,2026-06-15T00-46
admin/testRiskAnalysisGroup.js,IDENTICAL,1,13,2026-06-15T00-46
adminNormalizeRoutineData.js,CONFLICT,2,13,2026-06-15T00-46
apps/calculation/api.js,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
apps/calculation/app.json,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
apps/calculation/contracts.js,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
apps/calculation/index.js,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
apps/calculation/service.js,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
apps/menu/api.js,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
apps/menu/app.json,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
apps/menu/contracts.js,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
apps/menu/index.js,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
apps/menu/service.js,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
apps/recipes/api.js,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
apps/recipes/app.json,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
apps/recipes/contracts.js,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
apps/recipes/index.js,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
apps/recipes/service.js,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
auditCompanyLocation.js,CONFLICT,2,13,2026-06-15T00-46
call-generate-templates.js,CONFLICT,2,13,2026-06-15T00-46
call-start-day.js,CONFLICT,2,13,2026-06-15T00-46
canonicalRoutines.js,CONFLICT,3,13,2026-06-15T00-46
canonicalTaskEngine.js,CONFLICT,5,13,2026-06-15T00-46
closeDailyRun.js,CONFLICT,2,13,2026-06-15T00-46
demoCanonicalTemplates.js,CONFLICT,3,13,2026-06-15T00-46
egenkontrol/adapters/onboardingAdapter.js,CONFLICT,2,13,2026-06-15T00-46
egenkontrol/allergenData.js,CONFLICT,2,13,2026-06-15T00-46
egenkontrol/builders/templateBuilder.js,CONFLICT,2,13,2026-06-15T00-46
egenkontrol/createEgenkontrolProgramForLocation.js,IDENTICAL,1,13,2026-06-15T00-46
egenkontrol/egenkontrolGenerator.js,CONFLICT,2,13,2026-06-15T00-46
egenkontrol/evaluators/coolingEvaluator.js,CONFLICT,2,13,2026-06-15T00-46
egenkontrol/generators/taskGenerator.js,CONFLICT,2,13,2026-06-15T00-46
egenkontrol/index.js,CONFLICT,2,13,2026-06-15T00-46
egenkontrol/libraries/controlLibrary.js,CONFLICT,2,13,2026-06-15T00-46
egenkontrol/libraries/guideLibrary.js,CONFLICT,2,13,2026-06-15T00-46
egenkontrol/models/coolingHistoryModel.js,CONFLICT,2,13,2026-06-15T00-46
egenkontrol/operationalTemplateReference.js,IDENTICAL,1,13,2026-06-15T00-46
egenkontrol/registries/activityTypes.js,CONFLICT,2,13,2026-06-15T00-46
egenkontrol/registries/areaTypes.js,CONFLICT,2,13,2026-06-15T00-46
egenkontrol/registries/businessTypes.js,CONFLICT,2,13,2026-06-15T00-46
egenkontrol/registries/equipmentTypes.js,CONFLICT,2,13,2026-06-15T00-46
egenkontrol/risikoanalyseData.js,CONFLICT,2,13,2026-06-15T00-46
egenkontrol/risk-analysis-library.js,IDENTICAL,1,13,2026-06-15T00-46
egenkontrol/risk-analysis-product-resolver.js,IDENTICAL,1,13,2026-06-15T00-46
egenkontrol/utils/registryHelpers.js,CONFLICT,2,13,2026-06-15T00-46
egenkontrolGenerator.js,CONFLICT,3,13,2026-06-15T00-46
egenkontrolProgramTemplates.js,IDENTICAL,1,13,2026-06-15T00-46
egenkontrolPrograms.js,IDENTICAL,1,13,2026-06-15T00-46
equipmentRoutineGuard.js,ONLY_IN_BACKUP,1,0,
firebase-debug.log,ONLY_IN_BACKUP,1,0,
fixOnboardingStructure.js,CONFLICT,2,13,2026-06-15T00-46
generateComprehensiveHaccp.js,CONFLICT,2,13,2026-06-15T00-46
guideLibrary.js,CONFLICT,2,13,2026-06-15T00-46
guideResolver.js,CONFLICT,2,13,2026-06-15T00-46
index.js,CONFLICT,11,13,2026-06-15T00-46
index.js.bak-before-mojibake-key-fix-20260610215343,ONLY_IN_BACKUP,1,0,
index.js.bak-before-mojibake-key-fix-20260610215457,ONLY_IN_BACKUP,1,0,
index.js.bak-pos-module-20260610215239,ONLY_IN_BACKUP,1,0,
index.js.bak-quick-selected-modules-20260610171947,IDENTICAL,1,1,2026-06-10T15-21
js/canonicalRoutines.js,CONFLICT,3,13,2026-06-15T00-46
js/setupToCanonicalRoutines.js,CONFLICT,3,13,2026-06-15T00-46
lagerkontrol/adapters/firestore.js,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
lagerkontrol/api.js,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
lagerkontrol/domain/goods-receipt.js,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
lagerkontrol/domain/inventory-movement.js,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
lagerkontrol/domain/product-match.js,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
lagerkontrol/domain/quantity.js,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
lagerkontrol/index.js,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
lagerkontrol/ocr/adapters/firestore-ocr-repo.js,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
lagerkontrol/ocr/api.js,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
lagerkontrol/ocr/domain/extract-document.js,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
lagerkontrol/ocr/domain/map-extracted-fields.js,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
lagerkontrol/ocr/index.js,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
lagerkontrol/ocr/schemas.js,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
lagerkontrol/schemas.js,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
lib/ownerScope.js,IDENTICAL,1,1,2026-06-15T00-46
modules/admin/index.js,IDENTICAL,1,5,2026-06-15T00-46
modules/admin/module-access.js,CONFLICT,2,5,2026-06-15T00-46
modules/egenkontrol/README.md,CONFLICT,2,5,2026-06-15T00-46
modules/egenkontrol/deviations.js,IDENTICAL,1,5,2026-06-15T00-46
modules/egenkontrol/domain/README.md,IDENTICAL,1,5,2026-06-15T00-46
modules/egenkontrol/helpers/README.md,IDENTICAL,1,5,2026-06-15T00-46
modules/egenkontrol/index.js,CONFLICT,4,9,2026-06-15T00-46
modules/egenkontrol/processes.js,IDENTICAL,1,4,2026-06-15T00-46
modules/egenkontrol/reports.js,IDENTICAL,1,5,2026-06-15T00-46
modules/egenkontrol/risk-analysis.js,IDENTICAL,1,5,2026-06-15T00-46
modules/egenkontrol/routines.js,CONFLICT,7,9,2026-06-15T00-46
modules/egenkontrol/services/README.md,IDENTICAL,1,5,2026-06-15T00-46
modules/egenkontrol/templates.js,IDENTICAL,1,5,2026-06-15T00-46
modules/onboarding/index.js,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
modules/onboarding/moduleProvisioners.js,ONLY_IN_BACKUP,1,0,
modules/onboarding/save-onboarding-draft.js,ONLY_IN_DEPLOY,1,2,2026-06-11T10-39
modules/pos/access.js,CONFLICT,3,5,2026-06-15T00-46
modules/pos/index.js,IDENTICAL,1,5,2026-06-15T00-46
modules/pos/payments.js,CONFLICT,3,5,2026-06-15T00-46
modules/pos/product-images.js,IDENTICAL,1,5,2026-06-15T00-46
modules/pos/zettle-reader.js,CONFLICT,4,5,2026-06-15T00-46
package-lock.json,IDENTICAL,1,13,2026-06-15T00-46
package.json,IDENTICAL,1,13,2026-06-15T00-46
platform/app-registry.js,IDENTICAL,1,5,2026-06-15T00-46
platform/context.js,IDENTICAL,1,5,2026-06-15T00-46
platform/contracts.js,IDENTICAL,1,5,2026-06-15T00-46
platform/entitlements.js,IDENTICAL,1,5,2026-06-15T00-46
platform/module-pricing.js,IDENTICAL,1,5,2026-06-15T00-46
pos/payments/index.js,IDENTICAL,1,5,2026-06-15T00-46
